Numbering,name,Function Description,Parameter grouping,
285,The second extended slave failed flag,"After the second slave send out a data frame, the status is set to 0. After data is received, the status is set to 1, and the value can be set to the address of Y relay or the address of R relay.",Master station extended function parameters,
286,The third extended slave failed flag,"After the third slave send out a data frame, the status is set to 0. After data is received, the status is set to 1, and the value can be set to the address of Y relay or the address of R relay.",Master station extended function parameters,
287,The four extended slave failed flag,"After the fourth slave send out a data frame, the status is set to 0. After data is received, the status is set to 1, and the value can be set to the address of Y relay or the address of R relay.",Master station extended function parameters,
288,Reserved,Reserved for oscilloscope functions,Reserved,
289,Reserved,Reserved for oscilloscope functions,Reserved,
290,Reserved,Reserved for oscilloscope functions,Reserved,
291,Reserved,Reserved for oscilloscope functions,Reserved,
292,Reserved,Reserved for oscilloscope functions,Reserved,
293,Reserved,Reserved for oscilloscope functions,Reserved,
294,Reserved,Reserved for oscilloscope functions,Reserved,
295,Reserved,Reserved for oscilloscope functions,Reserved,
296,Reserved,Reserved for oscilloscope functions,Reserved,
297,Reserved,Reserved for oscilloscope functions,Reserved,
298,Reserved,Reserved for oscilloscope functions,Reserved,
299,Reserved,Reserved for oscilloscope functions,Reserved,
300,Reserved,Reserved for oscilloscope functions,Reserved,
301,CANopen object dictionary,2021h index,CANopen object dictionary,
302,CANopen object dictionary,2022h index,CANopen object dictionary,
303,CANopen object dictionary,2023h index,CANopen object dictionary,
304,CANopen object dictionary,2024h index,CANopen object dictionary,
305,CANopen object dictionary,2025h index,CANopen object dictionary,
306,CANopen object dictionary,2026h index,CANopen object dictionary,
307,CANopen object dictionary,2027h index,CANopen object dictionary,
308,CANopen object dictionary,2028h index,CANopen object dictionary,
309,CANopen object dictionary,2029h index,CANopen object dictionary,
310,CANopen object dictionary,202Ah index,CANopen object dictionary,
311,CANopen object dictionary,202Bh index,CANopen object dictionary,
312,CANopen object dictionary,202Ch index,CANopen object dictionary,
313,CANopen object dictionary,202Dh index,CANopen object dictionary,
314,CANopen object dictionary,202Eh index,CANopen object dictionary,
315,CANopen object dictionary,202Fh index,CANopen object dictionary,
316,CANopen object dictionary,2030h index,CANopen object dictionary,
317,CANopen object dictionary,2031h index,CANopen object dictionary,
318,CANopen object dictionary,2032h index,CANopen object dictionary,
319,CANopen object dictionary,2033h index,CANopen object dictionary,
320,CANopen object dictionary,2034h index,CANopen object dictionary,
321,CANopen object dictionary,2035h index,CANopen object dictionary,
322,CANopen object dictionary,2036h index,CANopen object dictionary,
323,CANopen object dictionary,2037h index,CANopen object dictionary,
324,CANopen object dictionary,2038h index,CANopen object dictionary,
